ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
93725,12,2017,Gas- Commercial,Y,0,0,NA
93726,10,2017,Gas- Commercial,Y,1207,168626,140
93726,11,2017,Gas- Commercial,Y,1209,234156,194
93726,12,2017,Gas- Commercial,N,635,200885,316
93727,10,2017,Gas- Commercial,N,1013,95551,94
93727,11,2017,Gas- Commercial,N,1015,145990,144
93727,12,2017,Gas- Commercial,N,1019,325614,320
93728,10,2017,Gas- Commercial,Y,0,0,NA
93728,11,2017,Gas- Commercial,Y,0,0,NA
93728,12,2017,Gas- Commercial,Y,396,82648,209
93730,10,2017,Gas- Commercial,Y,0,0,NA
93730,11,2017,Gas- Commercial,Y,0,0,NA
93730,12,2017,Gas- Commercial,Y,0,0,NA
93740,10,2017,Gas- Commercial,Y,0,0,NA
93740,11,2017,Gas- Commercial,Y,0,0,NA
93740,12,2017,Gas- Commercial,Y,0,0,NA
93741,10,2017,Gas- Commercial,Y,0,0,NA
93741,11,2017,Gas- Commercial,Y,0,0,NA
93741,12,2017,Gas- Commercial,Y,0,0,NA
93901,10,2017,Gas- Commercial,Y,1152,214888,187
93901,11,2017,Gas- Commercial,Y,2149,584588,272
93901,12,2017,Gas- Commercial,Y,1157,404165,349
93905,10,2017,Gas- Commercial,Y,0,0,NA
93905,11,2017,Gas- Commercial,Y,0,0,NA
93905,12,2017,Gas- Commercial,N,363,127633,352
93906,10,2017,Gas- Commercial,Y,729,199560,274
93906,11,2017,Gas- Commercial,Y,0,0,NA
93906,12,2017,Gas- Commercial,N,372,137573,370
93907,10,2017,Gas- Commercial,Y,0,0,NA
93907,11,2017,Gas- Commercial,Y,0,0,NA
93907,12,2017,Gas- Commercial,Y,331,124364,376
93908,10,2017,Gas- Commercial,Y,0,0,NA
93908,11,2017,Gas- Commercial,Y,0,0,NA
93908,12,2017,Gas- Commercial,Y,0,0,NA
93921,10,2017,Gas- Commercial,N,163,43106,264
93921,11,2017,Gas- Commercial,N,164,42612,260
93921,12,2017,Gas- Commercial,N,165,53716,326
93923,10,2017,Gas- Commercial,Y,0,0,NA
93923,11,2017,Gas- Commercial,Y,0,0,NA
