ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93932,10,2017,Elec- Agricultural,Y,0,0,NA
93932,11,2017,Elec- Agricultural,Y,0,0,NA
93932,12,2017,Elec- Agricultural,Y,0,0,NA
93933,10,2017,Elec- Agricultural,Y,0,0,NA
93933,11,2017,Elec- Agricultural,Y,0,0,NA
93933,12,2017,Elec- Agricultural,Y,0,0,NA
93940,10,2017,Elec- Agricultural,Y,0,0,NA
93940,11,2017,Elec- Agricultural,Y,0,0,NA
93940,12,2017,Elec- Agricultural,Y,0,0,NA
93950,10,2017,Elec- Agricultural,Y,0,0,NA
93950,11,2017,Elec- Agricultural,Y,0,0,NA
93950,12,2017,Elec- Agricultural,Y,0,0,NA
93960,10,2017,Elec- Agricultural,N,95,2612721,27502
93960,11,2017,Elec- Agricultural,N,94,944442,10047
93960,12,2017,Elec- Agricultural,N,94,1202185,12789
94010,10,2017,Elec- Agricultural,Y,0,0,NA
